Code,District,Votescount_200606,LB_200606,S.O.S._200606,Misia.21_200606,SDL_200606,ZRS_200606,KDH_200606,SLNKO_200606,ANO_200606,HZD_200606,SMK.MKP_200606,SF_200606,OKS_200606,PS_200606,LS.HZDS_200606,ASV_200606,KSS_200606,SLS_200606,SDKU.DS_200606,Smer_200606,SNS_200606,Votescount_201006,EDS_201006,Unia_201006,SRK_201006,PalihoKapurkova_201006,SaS_201006,SDL_201006,SMK.MKP_201006,LS.HZDS_201006,KSS_201006,SNS_201006,ND_201006,ZRS_201006,KDH_201006,LSNS_201006,SDKU.DS_201006,AZEN_201006,Smer_201006,Most_201006,Votescount_201203,Zeleni_201203,KDH_201203,SDL_201203,SNS_201203,OLaNO_201203,SaS_201203,PaS_201203,NAS.KRAJ_201203,SZ_201203,LSNS_201203,Smer_201203,ZZ_201203,NaS...ns_201203,KSS_201203,SPRUS_201203,Most_201203,X99._201203,LS.HZDS_201203,X.1.HLAS_201203,SF_201203,OLaNO_201203.1,SDKU.DS_201203,SOSKA_201203,SMK.MKP_201203,ANO_201203,SZS_201203,Votescount_201603,TIP_201603,SMS_201603,OLaNO_201603,DS...Ludo.Kanik_201603,SANCA_201603,Rodina_201603,SZS_201603,KOALICIA.ZA.SPOLOCNE.SLOVENSKO_201603,MKDA.MKDSZ_201603,VZDOR_201603,Most_201603,SNS_201603,Odvaha...Velka.narodna.a.proruska.koalicia_201603,KSS_201603,SDKU.DS_201603,Smer_201603,KDH_201603,SKOK_201603,LSNS_201603,Siet_201603,SMK.MKP_201603,PD_201603,SaS_201603,center_200606,right_reg_200606,left_reg_200606,left_200606,right_200606,left_ex_200606,right_ex_200606,ex_200606,reg_200606,center_201006,right_reg_201006,left_reg_201006,left_201006,right_201006,right_ex_201006,ex_201006,reg_201006,center_201203,right_reg_201203,left_reg_201203,left_201203,right_201203,left_ex_201203,right_ex_201203,ex_201203,reg_201203,right_reg_201603,left_reg_201603,left_201603,right_201603,right_ex_201603,ex_201603,reg_201603,cosmopolitan_200606,parochial_200606,cosmopolitan_201006,parochial_201006,cosmopolitan_201203,parochial_201203,cosmopolitan_201603,parochial_201603,U201203,U201603,U200606,U201006
SK0101,Bratislava I,23927,0.083587579,0.025076274,0.137919505,0.11702261,0.03761441,10.95415221,0.142098884,0.936180884,0.509884231,4.914949638,6.285785932,1.232916789,0.217327705,6.315041585,0.054331926,2.277761525,0.200610189,44.61904961,14.71977264,5.922179964,25045,0.167698143,0.690756638,0.055899381,0.471151927,16.606109,1.289678579,0.806548213,2.519464963,0.319425035,2.794969056,0.259532841,0.035935316,10.93631463,0.379317229,32.58534638,0.09582751,18.91794769,11.06807746,24479,0.216512112,12.30850933,0.147064831,2.66759263,8.979124964,16.14036521,0.306385065,0.073532416,0.641366069,0.559663385,23.85718371,2.720699375,0.285959394,0.298214796,0.012255403,8.832060133,1.090730831,0.453449896,0.024510805,0.290044528,0.114383758,18.36267821,0.130724294,0.731239021,0.641366069,0.114383758,26227,0.171578907,0.061005834,15.44210165,0.057192969,0.228771876,3.835741793,0.57955542,0.041941511,0.015251458,0.053380104,12.42612575,4.377168567,0.083883021,0.205894689,0.507110992,14.98074503,5.280817478,1.361192664,2.695695276,7.225378427,0.621496931,0.144888855,29.60308079,6.285785932,60.48815146,14.71977264,16.99753417,73.66155389,2.277761525,13.17340243,15.45116396,81.49371003,13.58754242,60.93431823,20.20762627,20.20762627,64.42802955,3.49371132,3.49371132,94.72948692,8.832060133,47.54279178,23.85718371,24.94791454,63.1112382,1.090730831,15.56844642,16.65917725,80.23203562,42.73077363,27.40687078,27.40687078,69.08148092,26.35070729,26.35070729,70.13764441,63.07100765,33.87386634,65.89738471,31.03613496,64.09167041,31.70881163,40.53456362,55.95378808,3.41,4.45,2.03,2.84
SK0102,Bratislava II,53581,0.115712659,0.050390997,0.093316661,0.171702656,0.102648327,7.362684534,0.20343032,1.229913589,0.390063642,7.754614509,5.802429966,0.539370299,0.229558985,7.062204886,0.111979993,2.874153151,0.184766988,37.24827831,20.26837872,7.778876841,61750,0.168421053,1.104453441,0.029149798,0.604048583,17.15303644,1.744129555,1.007287449,2.838866397,0.383805668,3.575708502,0.263967611,0.038866397,7.556275304,0.558704453,28.73198381,0.087449393,24.51174089,9.642105263,61560,0.271280052,9.06920078,0.11208577,3.344704353,8.417803769,14.11468486,0.384990253,0.069850552,0.653021442,0.90805718,31.18583496,2.626705653,0.445094217,0.394736842,0.029239766,9.40545809,1.289798571,0.495451592,0.076348278,0.547433398,0.144574399,13.90025991,0.196556205,0.976283301,0.81871345,0.121832359,66934,0.294319778,0.056772343,13.28174022,0.049302298,0.188245137,7.126423044,0.617025727,0.083664505,0.038844235,0.056772343,9.515343473,5.58609974,0.106074641,0.324199958,0.403382436,18.55708608,4.051752473,1.352078167,4.011414229,6.522843398,1.02489019,0.158364957,26.59336062,5.802429966,52.36557735,20.26837872,23.14253187,68.43657267,2.874153151,16.07099532,18.94514847,78.43638603,12.48097166,54.448583,26.25587045,26.25587045,58.96680162,4.518218623,4.518218623,93.1854251,9.40545809,38.06042885,31.18583496,32.47563353,54.17641326,1.289798571,16.11598441,17.40578298,78.6517219,38.19284668,28.07242956,28.07242956,68.19852392,30.00567723,30.00567723,66.26527624,59.09744126,38.28409324,66.73198381,29.22753036,64.53703704,30.23066927,39.67191562,56.59903786,5.44,5.22,2.01,4.19
SK0103,Bratislava III,32060,0.115408609,0.043668122,0.121646912,0.152838428,0.071740487,8.00062383,0.149719276,1.272613849,0.389893949,3.767935122,6.219588272,0.53025577,0.190268247,7.716781036,0.074859638,3.41235184,0.19650655,37.11790393,21.16344354,8.786650031,36097,0.168989113,0.839404937,0.027703133,0.772917417,17.14546915,1.991855279,0.482034518,3.008560268,0.479264205,4.028035571,0.301964152,0.080339086,8.560268166,0.578995484,28.66997257,0.1246641,25.79161703,6.947945813,35752,0.271313493,9.823226673,0.109084806,3.977399866,9.535130902,13.84817633,0.441933318,0.061535019,0.867084359,0.75240546,32.2583352,2.808234504,0.475497874,0.534235847,0.033564556,6.43600358,1.211121056,0.528641754,0.044752741,0.380398299,0.145446409,14.06634594,0.167822779,0.461512643,0.688073394,0.072723204,39018,0.246040289,0.043569635,14.26264801,0.058947153,0.199907735,5.858834384,0.784253421,0.061510072,0.025629197,0.066635912,8.506330412,5.984417448,0.099953867,0.363934594,0.39981547,19.49869291,4.13655236,1.340406992,3.711107694,6.942949408,0.407504229,0.128145984,26.87221282,6.219588272,48.88646288,21.16344354,24.57579538,66.6625078,3.41235184,17.77604492,21.18839676,76.2694947,9.956506081,54.85774441,27.78347231,27.78347231,59.94403967,5.08629526,5.08629526,92.5977228,6.43600358,38.19926158,32.2583352,33.46945625,55.96050571,1.211121056,17.76124413,18.97236518,76.89360036,38.35921882,28.00502332,28.00502332,68.17622636,29.81700753,29.81700753,66.36424214,56.09482221,41.36306925,64.9001302,30.79203258,63.04542403,31.60942045,39.49202932,56.68922036,4.58,5.29,2.05,3.51
SK0104,Bratislava IV,45821,0.159315598,0.032736082,0.152768381,0.113485083,0.104755461,8.349883241,0.178957247,1.772113223,0.338272844,3.552956068,6.761092076,0.641627202,0.253159032,5.903406735,0.1200323,2.747648458,0.240064599,39.75906244,20.50806399,7.819558718,53615,0.17159377,1.150797351,0.007460599,0.677049333,19.13084025,1.891261774,0.341322391,2.441480929,0.34505269,3.291989182,0.268581554,0.076471137,8.764338338,0.583791849,29.35372564,0.147346825,24.03804905,7.318847337,53410,0.277101666,9.741621419,0.119827748,3.493727766,9.644261374,15.16008238,0.423141734,0.050552331,0.718966486,0.943643512,31.16832054,3.029395244,0.425014042,0.37633402,0.022467703,6.837670848,1.261935967,0.408163265,0.059913874,0.494289459,0.136678525,13.81389253,0.205953941,0.3501217,0.733944954,0.102976971,58342,0.234822255,0.049706901,14.94806486,0.039422714,0.185115354,6.667580817,0.766171883,0.058277056,0.023996435,0.066847211,7.929107675,6.014534983,0.083987522,0.370230709,0.59991087,18.29213945,4.010832676,1.383223064,4.465050907,6.830413767,0.315381715,0.142264578,26.5229166,6.761092076,51.66190175,20.50806399,23.25571245,67.15698042,2.747648458,15.49507868,18.24272713,78.93105781,9.760328266,57.59022662,25.92931083,25.92931083,61.81106034,4.220833722,4.220833722,93.27986571,6.837670848,39.06571803,31.16832054,32.43025651,56.91069088,1.261935967,17.84497285,19.10690882,77.07170942,37.67954475,26.22124713,26.22124713,69.77477632,32.09523157,32.09523157,63.90079188,57.74863054,39.42515441,63.49342535,32.11601231,61.91162704,33.00505523,37.37787529,58.61814816,4.21,5.19,1.85,3.3
SK0105,Bratislava V,58211,0.128841628,0.029204102,0.072151312,0.171788837,0.108226967,7.108622082,0.185531944,1.601071962,0.412293209,5.153665115,6.856092491,0.692309014,0.357320781,5.163972445,0.089330195,2.724570957,0.262836921,37.81415884,22.2037072,8.42967824,64110,0.173139916,1.091873343,0.037435657,0.861020122,19.05942911,2.235220714,0.662923101,2.335049134,0.408672594,3.626579317,0.290126345,0.06707222,7.065980346,0.739354235,29.45250351,0.127905163,23.75916394,8.00655124,63090,0.321762561,8.467268981,0.115707719,3.556823585,9.652876843,14.28118561,0.583293707,0.072911713,0.722776985,1.10001585,31.59930258,3.403074972,0.569028372,0.407354573,0.031700745,7.463940403,1.524805833,0.375653828,0.095102235,0.634014899,0.185449358,12.77698526,0.210809954,0.673640831,1.07148518,0.103027421,66984,0.255284844,0.07016601,14.01528723,0.034336558,0.20303356,8.10939926,0.80019109,0.095545205,0.032843664,0.097038099,7.998925116,6.180580437,0.085094948,0.349337155,0.344858474,18.37304431,3.515764959,1.397348621,4.793682073,6.655320674,0.513555476,0.335901111,25.74346113,6.856092491,50.07644603,22.2037072,24.92827816,65.27116868,2.724570957,15.19472265,17.9192936,79.13624573,10.34160037,56.24083606,25.99438465,25.99438465,61.01544221,4.774606146,4.774606146,92.57682109,7.463940403,36.19908068,31.59930258,33.12410842,54.98335711,1.524805833,18.78427643,20.30908226,75.26232366,36.42810223,26.37196943,26.37196943,69.52705124,33.098949,33.098949,62.80007166,56.58896085,40.46657848,64.21619092,30.9000156,60.98113806,33.06546204,37.05661053,58.84241013,4.73,4.42,2.3,3.69
SK0106,Malacky,24705,0.255009107,0.0445254,0.093098563,0.129528436,0.170006072,7.658368751,0.141671726,1.554341226,0.356203198,0.777170613,3.618700668,0.279295689,0.121432908,7.642177697,0.331916616,4.225865209,0.182149362,30.3339405,29.15199352,11.38231127,30580,0.255068672,0.905820798,0.078482668,0.542838457,18.77370831,2.930019621,0.032701112,3.250490517,0.869849575,4.453891432,0.225637672,0.170045782,7.423152387,0.896010464,22.31196861,0.101373447,34.13015043,2.648790059,31204,0.41020382,8.223304705,0.080117934,3.621330599,13.53993078,8.995641584,0.448660428,0.028842456,0.548006666,1.515831304,44.6224843,1.602358672,0.689014229,0.602486861,0.076913216,2.611844635,1.682476606,0.352518908,0.025637739,0.439046276,0.243558518,8.595051916,0.278810409,0.025637739,0.61530573,0.124983976,35014,0.422688068,0.162792026,14.06865825,0.085680014,0.214200034,10.04169761,0.825384132,0.048552008,0.014280002,0.099960016,3.470040555,6.791569087,0.105672017,0.534072085,0.56548809,26.92066031,3.944136631,1.099560176,7.254241161,5.723424916,0.042840007,0.117096019,17.44730679,3.618700668,38.76947986,29.15199352,33.37785873,59.34831006,4.225865209,20.5788302,24.80469541,71.54017405,5.899280576,48.54153041,37.06017005,37.06017005,54.76128188,6.219751472,6.219751472,91.50098103,2.611844635,25.83963594,44.6224843,46.3049609,46.73439303,1.682476606,20.89475708,22.57723369,73.07396488,27.15770835,30.39070086,30.39070086,65.31387445,38.1561661,38.1561661,57.54840921,43.9263307,52.41853876,62.37410072,32.41661216,64.07832329,29.89039867,40.10110242,55.6034729,7.66,5.73,4.29,8
SK0107,Pezinok,25677,0.151886903,0.042839896,0.105152471,0.210304942,0.116836079,8.178525529,0.253144838,1.289091405,0.48292246,0.860692448,4.470927289,0.545235035,0.151886903,9.888226818,0.101257935,3.170152276,0.284301126,29.18175799,26.01939479,13.80223546,30470,0.167377749,0.912372826,0.026255333,0.682638661,19.14341976,2.510666229,0.078765999,3.196586807,0.534952412,5.914013784,0.42993108,0.134558582,8.217919265,0.863144076,22.29077781,0.052510666,31.81161798,3.032490975,31555,0.342259547,8.398035177,0.155284424,4.642687371,14.39074632,9.741720805,0.383457455,0.117255585,0.7890984,1.147203296,40.75423863,1.625732847,0.941213754,0.557756299,0.031690699,2.776105213,1.384883537,0.443669783,0.028521629,0.405640944,0.25035652,9.624465219,0.129931865,0.057043258,0.78276026,0.098241166,34982,0.334457721,0.120061746,14.90194957,0.100051455,0.251557944,9.284775027,0.823280544,0.08575839,0.014293065,0.071465325,3.936310102,7.826882397,0.100051455,0.491681436,0.420216111,24.1638557,3.930592876,1.277800011,6.183179921,6.10599737,0.054313647,0.208678749,19.31278943,4.470927289,38.22097597,26.01939479,29.18954707,63.20052966,3.170152276,24.97955369,28.14970596,68.71129805,6.229077781,49.73088284,34.32228421,34.32228421,57.04299311,7.312110272,7.312110272,90.28224483,2.776105213,27.82126446,40.75423863,42.13912217,50.41039455,1.384883537,22.58913009,23.97401363,71.3516083,29.40369333,28.1001658,28.1001658,67.60048025,38.19678692,38.19678692,57.50385913,45.69069595,51.17030806,60.41023958,34.67344929,61.6098875,32.3308509,38.19106969,57.50957635,6.86,5.48,3.24,5.67
SK0108,Sala,23157,0.427516518,0.077730276,0.051820184,0.043183487,0.116595414,3.588547739,0.082048625,0.699572483,0.431834866,44.82445913,2.219631213,0.228872479,0.181370644,5.112924818,0.159778901,2.107354148,0.103640368,14.46214967,18.20615797,6.594118409,25206,0.309450131,0.472109815,0.154725065,0.424502103,9.446163612,2.14631437,15.67880663,2.055066254,0.511782909,4.375942236,0.095215425,0.107117353,3.229389828,0.841069587,13.90938665,0.035705784,19.78497183,26.42228041,23825,0.310598111,4.625393494,0.092339979,3.722980063,6.199370409,4.864637985,0.310598111,0.033578174,0.281217209,1.166841553,27.71878279,0.998950682,0.293809024,0.457502623,0.113326338,22.71983211,1.712486884,0.411332634,0.020986359,0.339979014,0.167890871,5.242392445,0.146904512,17.29695698,0.684155299,0.067156348,23791,0.554831659,0.113488294,7.902147871,0.079862133,0.121894834,6.71682569,0.559034929,0.046235972,0.256399479,0.088268673,18.48177882,5.880374932,0.071455592,0.386700853,0.130301374,19.04081375,2.278172418,0.59686436,6.594930856,3.917447774,15.69501072,0.046235972,10.44092304,2.219631213,62.87515654,18.20615797,20.31351211,75.28177225,2.107354148,12.40661571,14.51396986,83.30094572,28.47734666,42.26374673,21.9312862,21.9312862,47.99254146,5.728794731,5.728794731,92.67237959,22.71983211,32.0293809,27.71878279,29.43126967,44.80167891,1.712486884,12.77229801,14.48478489,82.4679958,32.33155395,37.52259258,37.52259258,59.4258333,27.09427935,27.09427935,69.85414653,67.31873731,30.49617826,77.85051178,18.40434817,77.60335782,17.63693599,59.41322349,37.53520239,11.97,7.6,12.29,10.36
SK0211,Dunajska Streda,57838,0.326774785,0.063971783,0.034579342,0.044953145,0.034579342,0.677755109,0.041495211,0.423596943,0.074345586,86.31522528,0.691586846,0.088177323,0.041495211,1.649434628,0.020747605,0.556727411,0.01210277,4.835921021,3.248729209,0.70714755,64681,0.214900821,0.142236515,0.08348665,0.143782564,2.996243101,0.556577666,32.87209536,0.71582072,0.117499729,0.440623985,0.080394552,0.03401308,0.742103554,0.10049319,6.213571219,0.024736785,3.642491613,50.8789289,58503,0.170931405,1.338392903,0.052988736,0.557236381,1.811872895,1.940071449,0.102558843,0.013674512,0.162384835,0.129907868,6.112507051,0.40510743,0.07179119,0.182896604,0.059825992,43.87980104,0.654667282,0.225629455,0.011965198,0.112814727,0.047860793,2.054595491,0.058116678,39.55181786,0.246141224,0.044442165,55484,0.28476678,0.075697498,4.442722226,0.030639464,0.322615529,3.258597073,0.221685531,0.039651071,0.619998558,0.028837142,33.5610266,1.234590152,0.036046428,0.140581068,0.106336962,5.174464711,0.571335881,0.281162137,1.292264437,1.989762815,41.80664696,0.037848749,4.442722226,0.691586846,91.82890141,3.248729209,3.80545662,94.60908054,0.556727411,2.780179121,3.336906532,95.76921747,51.59474962,42.82401323,4.199069278,4.199069278,43.48263014,0.658616905,0.658616905,98.61783213,43.87980104,44.8848777,6.112507051,6.767174333,48.0351435,0.654667282,3.150265798,3.80493308,94.87718579,48.81046788,38.73549131,38.73549131,59.03864177,10.22817389,10.22817389,87.5459592,93.91576472,5.190359279,94.32290781,4.39696356,92.93711434,5.090337248,83.10323697,14.67089611,12.14,8.51,7.83,9.63
SK0212,Galanta,42088,0.342140278,0.059399354,0.080783121,0.059399354,0.142558449,3.573465121,0.149686371,0.805455237,0.451435088,45.59256795,1.945922828,0.147310397,0.102166888,5.863904201,0.204333777,2.732370272,0.180574035,11.73018438,18.95314579,6.567192549,46735,0.33379694,0.423665347,0.102706751,0.391569488,8.687279341,1.844442067,14.16711244,2.97635605,0.641917193,3.479191184,0.419385899,0.154060126,3.429977533,0.703969188,11.15224136,0.055632823,21.65828608,29.37841019,45396,0.207066702,4.275707111,0.092519165,3.020089876,7.280377126,3.687549564,0.255529122,0.019825535,0.339236937,1.022116486,29.11930567,0.909771786,0.36126531,0.511058243,0.070490792,26.63009957,1.27544277,0.590360384,0.026434047,0.281963169,0.147590096,3.773460217,0.035245396,15.30311041,0.680676712,0.083707816,45859,0.477550753,0.198434331,8.848862819,0.050153732,0.137377614,6.589764277,0.418674633,0.093765673,0.143919405,0.09594627,19.18925402,5.414422469,0.052334329,0.42085523,0.111210449,19.40077193,1.884035849,0.575677621,5.719706056,3.774613489,17.84382564,0.109029852,8.449813559,1.945922828,60.89621745,18.95314579,21.68551606,74.13276944,2.732370272,13.23655199,15.96892226,81.79528607,32.35476624,37.43661068,23.50272815,23.50272815,42.26168824,4.825077565,4.825077565,93.29410506,26.63009957,27.0398273,29.11930567,30.39474844,39.95285928,1.27544277,12.91303199,14.18847476,82.78923253,31.95228854,38.59002595,38.59002595,58.52504416,26.57275562,26.57275562,70.54231449,65.93803459,31.82617373,79.33240612,16.94233444,79.10168297,16.60058155,62.09250093,35.02256918,6.98,4.6,6.3,5.96
