Code,District,Votescount_200606,LB_200606,S.O.S._200606,Misia.21_200606,SDL_200606,ZRS_200606,KDH_200606,SLNKO_200606,ANO_200606,HZD_200606,SMK.MKP_200606,SF_200606,OKS_200606,PS_200606,LS.HZDS_200606,ASV_200606,KSS_200606,SLS_200606,SDKU.DS_200606,Smer_200606,SNS_200606,Votescount_201006,EDS_201006,Unia_201006,SRK_201006,PalihoKapurkova_201006,SaS_201006,SDL_201006,SMK.MKP_201006,LS.HZDS_201006,KSS_201006,SNS_201006,ND_201006,ZRS_201006,KDH_201006,LSNS_201006,SDKU.DS_201006,AZEN_201006,Smer_201006,Most_201006,Votescount_201203,Zeleni_201203,KDH_201203,SDL_201203,SNS_201203,OLaNO_201203,SaS_201203,PaS_201203,NAS.KRAJ_201203,SZ_201203,LSNS_201203,Smer_201203,ZZ_201203,NaS...ns_201203,KSS_201203,SPRUS_201203,Most_201203,X99._201203,LS.HZDS_201203,X.1.HLAS_201203,SF_201203,OLaNO_201203.1,SDKU.DS_201203,SOSKA_201203,SMK.MKP_201203,ANO_201203,SZS_201203,Votescount_201603,TIP_201603,SMS_201603,OLaNO_201603,DS...Ludo.Kanik_201603,SANCA_201603,Rodina_201603,SZS_201603,KOALICIA.ZA.SPOLOCNE.SLOVENSKO_201603,MKDA.MKDSZ_201603,VZDOR_201603,Most_201603,SNS_201603,Odvaha...Velka.narodna.a.proruska.koalicia_201603,KSS_201603,SDKU.DS_201603,Smer_201603,KDH_201603,SKOK_201603,LSNS_201603,Siet_201603,SMK.MKP_201603,PD_201603,SaS_201603
SK0101,Bratislava I,23927,20,6,33,28,9,2621,34,224,122,1176,1504,295,52,1511,13,545,48,10676,3522,1417,25045,42,173,14,118,4159,323,202,631,80,700,65,9,2739,95,8161,24,4738,2772,24479,53,3013,36,653,2198,3951,75,18,157,137,5840,666,70,73,3,2162,267,111,6,71,28,4495,32,179,157,28,26227,45,16,4050,15,60,1006,152,11,4,14,3259,1148,22,54,133,3929,1385,357,707,1895,163,38,7764
SK0102,Bratislava II,53581,62,27,50,92,55,3945,109,659,209,4155,3109,289,123,3784,60,1540,99,19958,10860,4168,61750,104,682,18,373,10592,1077,622,1753,237,2208,163,24,4666,345,17742,54,15136,5954,61560,167,5583,69,2059,5182,8689,237,43,402,559,19198,1617,274,243,18,5790,794,305,47,337,89,8557,121,601,504,75,66934,197,38,8890,33,126,4770,413,56,26,38,6369,3739,71,217,270,12421,2712,905,2685,4366,686,106,17800
SK0103,Bratislava III,32060,37,14,39,49,23,2565,48,408,125,1208,1994,170,61,2474,24,1094,63,11900,6785,2817,36097,61,303,10,279,6189,719,174,1086,173,1454,109,29,3090,209,10349,45,9310,2508,35752,97,3512,39,1422,3409,4951,158,22,310,269,11533,1004,170,191,12,2301,433,189,16,136,52,5029,60,165,246,26,39018,96,17,5565,23,78,2286,306,24,10,26,3319,2335,39,142,156,7608,1614,523,1448,2709,159,50,10485
SK0104,Bratislava IV,45821,73,15,70,52,48,3826,82,812,155,1628,3098,294,116,2705,55,1259,110,18218,9397,3583,53615,92,617,4,363,10257,1014,183,1309,185,1765,144,41,4699,313,15738,79,12888,3924,53410,148,5203,64,1866,5151,8097,226,27,384,504,16647,1618,227,201,12,3652,674,218,32,264,73,7378,110,187,392,55,58342,137,29,8721,23,108,3890,447,34,14,39,4626,3509,49,216,350,10672,2340,807,2605,3985,184,83,15474
SK0105,Bratislava V,58211,75,17,42,100,63,4138,108,932,240,3000,3991,403,208,3006,52,1586,153,22012,12925,4907,64110,111,700,24,552,12219,1433,425,1497,262,2325,186,43,4530,474,18882,82,15232,5133,63090,203,5342,73,2244,6090,9010,368,46,456,694,19936,2147,359,257,20,4709,962,237,60,400,117,8061,133,425,676,65,66984,171,47,9388,23,136,5432,536,64,22,65,5358,4140,57,234,231,12307,2355,936,3211,4458,344,225,17244
SK0106,Malacky,24705,63,11,23,32,42,1892,35,384,88,192,894,69,30,1888,82,1044,45,7494,7202,2812,30580,78,277,24,166,5741,896,10,994,266,1362,69,52,2270,274,6823,31,10437,810,31204,128,2566,25,1130,4225,2807,140,9,171,473,13924,500,215,188,24,815,525,110,8,137,76,2682,87,8,192,39,35014,148,57,4926,30,75,3516,289,17,5,35,1215,2378,37,187,198,9426,1381,385,2540,2004,15,41,6109
SK0107,Pezinok,25677,39,11,27,54,30,2100,65,331,124,221,1148,140,39,2539,26,814,73,7493,6681,3544,30470,51,278,8,208,5833,765,24,974,163,1802,131,41,2504,263,6792,16,9693,924,31555,108,2650,49,1465,4541,3074,121,37,249,362,12860,513,297,176,10,876,437,140,9,128,79,3037,41,18,247,31,34982,117,42,5213,35,88,3248,288,30,5,25,1377,2738,35,172,147,8453,1375,447,2163,2136,19,73,6756
SK0108,Sala,23157,99,18,12,10,27,831,19,162,100,10380,514,53,42,1184,37,488,24,3349,4216,1527,25206,78,119,39,107,2381,541,3952,518,129,1103,24,27,814,212,3506,9,4987,6660,23825,74,1102,22,887,1477,1159,74,8,67,278,6604,238,70,109,27,5413,408,98,5,81,40,1249,35,4121,163,16,23791,132,27,1880,19,29,1598,133,11,61,21,4397,1399,17,92,31,4530,542,142,1569,932,3734,11,2484
SK0211,Dunajska Streda,57838,189,37,20,26,20,392,24,245,43,49923,400,51,24,954,12,322,7,2797,1879,409,64681,139,92,54,93,1938,360,21262,463,76,285,52,22,480,65,4019,16,2356,32909,58503,100,783,31,326,1060,1135,60,8,95,76,3576,237,42,107,35,25671,383,132,7,66,28,1202,34,23139,144,26,55484,158,42,2465,17,179,1808,123,22,344,16,18621,685,20,78,59,2871,317,156,717,1104,23196,21,2465
SK0212,Galanta,42088,144,25,34,25,60,1504,63,339,190,19189,819,62,43,2468,86,1150,76,4937,7977,2764,46735,156,198,48,183,4060,862,6621,1391,300,1626,196,72,1603,329,5212,26,10122,13730,45396,94,1941,42,1371,3305,1674,116,9,154,464,13219,413,164,232,32,12089,579,268,12,128,67,1713,16,6947,309,38,45859,219,91,4058,23,63,3022,192,43,66,44,8800,2483,24,193,51,8897,864,264,2623,1731,8183,50,3875
SK0213,Hlohovec,19155,52,5,21,32,36,1928,24,180,101,57,581,56,36,2319,37,918,58,2902,7290,2442,21370,54,120,12,114,2668,521,2,993,191,1237,217,48,2179,343,2788,14,9598,271,22487,51,2205,43,934,2677,1012,92,12,80,656,12065,200,280,179,4,266,274,157,4,69,45,982,16,3,159,22,22078,94,23,2877,21,22,1782,194,10,3,25,450,1902,18,154,47,7613,1099,153,2151,1012,5,22,2401
SK0214,Piestany,28779,44,16,18,23,37,2986,49,370,168,189,1155,70,51,2881,40,975,100,6344,8980,4160,31615,70,157,9,203,4771,678,8,1539,248,2046,340,40,3137,423,5488,17,11772,669,32122,75,3470,68,1653,3529,2145,128,7,126,764,15113,444,327,164,8,638,425,267,4,107,62,2176,59,14,307,42,32723,125,36,4746,24,47,2184,225,21,4,43,923,2917,31,155,107,9442,1717,209,3237,1881,12,24,4613
